video_id,number_of_frames,total_distance,activity_ratio,processing_status
Subj_101_part_46,132,177.25429747090803,0.06870229007633588,ok
Subj_101_part_47,120,76.00438386595454,0.008403361344537815,ok
Subj_101_part_48,99,94.73637371936594,0.0,ok
Subj_101_part_49,120,231.492889961072,0.06722689075630252,ok
Subj_101_part_5,120,32.24736825861445,0.0,ok
Subj_101_part_50,132,209.2405094956514,0.015267175572519083,ok
Subj_101_part_51,120,236.99360534416934,0.10084033613445378,ok
Subj_101_part_52,120,118.38497386903296,0.0,ok
Subj_101_part_53,81,166.93245234632798,0.1125,ok
Subj_101_part_54,120,163.24497140019605,0.05042016806722689,ok
Subj_101_part_55,132,88.3968308694373,0.0,ok
Subj_101_part_56,120,159.81563473400504,0.025210084033613446,ok
Subj_101_part_57,120,194.94781201813944,0.07563025210084033,ok
Subj_101_part_58,132,146.96762174671227,0.07633587786259542,ok
Subj_101_part_59,120,99.59808731236149,0.04201680672268908,ok
Subj_101_part_6,132,50.970650405204026,0.0,ok
Subj_101_part_60,132,63.5984036540256,0.0,ok
Subj_101_part_61,120,43.7503105480516,0.0,ok
Subj_101_part_62,132,113.21703045159259,0.007633587786259542,ok
Subj_101_part_63,120,166.13239042971782,0.06722689075630252,ok
Subj_101_part_64,120,182.77682781510993,0.13445378151260504,ok
Subj_101_part_65,132,417.12282671942444,0.183206106870229,ok
Subj_101_part_66,119,133.15197709107287,0.05084745762711865,ok
Subj_101_part_67,132,29.185815445805623,0.0,ok
Subj_101_part_68,120,272.49829045543294,0.15126050420168066,ok
Subj_101_part_69,81,61.447053534482436,0.0125,ok
Subj_101_part_7,120,65.42546952603882,0.0,ok
Subj_101_part_70,132,122.53977405274273,0.0,ok
Subj_101_part_71,120,97.09523402041933,0.0,ok
Subj_101_part_72,132,139.1844599095861,0.0,ok
Subj_101_part_73,120,217.83908717107818,0.09243697478991597,ok
Subj_101_part_74,130,316.99113986436595,0.20155038759689922,ok
Subj_101_part_75,120,243.42212081394678,0.11764705882352941,ok
Subj_101_part_76,120,133.77318778629598,0.008403361344537815,ok
Subj_101_part_77,132,210.9308700808598,0.07633587786259542,ok
Subj_101_part_78,120,360.0269449929368,0.17647058823529413,ok
Subj_101_part_79,132,240.33321714303005,0.05343511450381679,ok
Subj_101_part_8,63,33.06094464601608,0.0,ok
Subj_101_part_80,120,213.99278136871507,0.11764705882352941,ok
Subj_101_part_81,103,181.01003757619353,0.058823529411764705,ok
Subj_101_part_82,132,225.97103385350334,0.09923664122137404,ok
Subj_101_part_83,120,425.401111655376,0.11764705882352941,ok
Subj_101_part_84,78,78.46591171461691,0.012987012987012988,ok
Subj_101_part_85,103,156.79722924544754,0.049019607843137254,ok
Subj_101_part_86,118,176.60960888048837,0.08547008547008547,ok
Subj_101_part_87,96,204.59263329478037,0.11578947368421053,ok
Subj_101_part_88,117,217.43962920218618,0.09482758620689655,ok
Subj_101_part_89,124,101.19256470097126,0.008130081300813009,ok
Subj_101_part_9,132,198.72370857349748,0.05343511450381679,ok
